id	severity	category	status	evidence_class	title	summary	impact	evidence	remediation
FCA-001	Critical	Autonomy / completion integrity	Source-proven defect	E1	Completion gates are satisfied by generic tool-result hashes rather than gate-specific validators	The managed step executor hashes every persisted tool result into a generic evidence list. Model-supplied gate_evidence is accepted when the hash merely appears in that list. The production EvidenceBoundCompletionValidator then marks the named gate passed without proving the result was successful, relevant to that gate, produced by an approved validator, or bound to a command/artifact specification.	A run can be marked complete by reusing an unrelated or failed tool result. This defeats the planned rule that a completion claim starts deterministic validators and only passing gates complete a package.	Sources/ForgeConductorCore/Application/ManagedProjectRunStepExecutor.swift:369-400; Sources/ForgeConductorCore/Application/ManagedAutonomyRuntime.swift:18-45,165; Sources/ForgeConductorCore/Application/ProjectRunCoordinator.swift:68-115	Replace EvidenceBoundCompletionValidator in production with typed, gate-specific deterministic validators. Persist validator identity/version, command or test specification, exit status, artifact hashes, project generation, run ID, and replay policy. Never accept model-declared evidence as proof by itself.
FCA-002	Critical	Instruction packages / queue	Missing planned feature	E1	Instruction-package ingestion, immutable store, durable Work Queue, and package tools are absent	The source, tests, and product documentation contain no PackageQueue, PackageIngestion, QueueAssignment, .forgepackage importer, queue.current, package.progress, package.blocked, package.complete_request, package.artifact.register, or Work Queue implementation.	Forge cannot autonomously ingest, validate, schedule, resume, validate, and advance through instruction packages as planned. The existing manual run form is not a package queue.	Repository-wide zero-match scan for required queue symbols; Sources/ForgeConductorApp/AppModel.swift:71-84 has no Work Queue tab	Implement FC-QUEUE-001 and FC-QUEUE-002: immutable hash-addressed ingestion, quarantine, leases, durable queue/run records, deterministic completion validation, model-facing package tools, and native Work Queue UI.
FCA-003	Critical	Continuity / autonomy	Source-proven conflicting implementation	E1	Legacy fixed-count continuity still blocks the manager-owned autonomous provider loop and instructs manual chat rollover	Every routed tool call still passes through ContinuityAutomation blocking and applyRuntimeContinuity. At its legacy threshold it writes a handoff, blocks project tools for the client, and tells the operator to start a new LM Studio chat and call context_get. Managed runs invoke the same ToolRouter, so the legacy client blocker can interrupt the newer manager-owned context-budget/rollover state machine.	Autonomous long-running work can stop on a manual bootstrap contract even though a real session-host adapter and rollover worker exist. Two continuity authorities can make contradictory decisions.	Sources/ForgeConductorCore/Application/ToolRouter.swift:397-407,693,934-985; Sources/ForgeConductorCore/Application/ContinuityAutomation.swift:307-327,430-487; Sources/ForgeConductorCore/Application/ContextContinuityService.swift:95-110	Make canonical project-scoped ContinuityCoordinator/ContextBudgetSupervisor the sole authority for managed runs. Disable legacy blocking for managed invocation contexts; retain legacy external-MCP compatibility only as an explicitly labeled non-autonomous mode.
FCA-004	High	Project lifecycle	Missing planned feature	E1	Project reset only increments generation; it does not reset memory or continuity safely	The manager exposes resetProjectGeneration and the UI exposes Reset Generation. The flow enters resetting state, closes the memory repository, increments generation, and invalidates bindings, but there is no ProjectResetService implementing selectable memory, continuity, combined, or run-history reset; no verified backup/rotation; and no full repository/control-plane cleanup.	The required reset semantics are not available. Users cannot reliably clear one project’s memory/continuity while preserving others, and generation reset may leave the old durable content in place.	Sources/ForgeConductorCore/Manager/ManagerNode.swift:418-442; Sources/ForgeConductorCore/Infrastructure/ProjectControlPlaneRepository.swift:511-575; Sources/ForgeConductorApp/OperatorConsole/Views/ProjectsOperatorView.swift:181-191	Implement the planned maintenance barrier, repository eviction, hash-verifiable backup, selected table/database rotation, continuity projection rebuild, generation fencing, reset receipt, and mode-specific UI.
FCA-005	High	Project isolation / continuity	Source-proven legacy risk	E1	Global latest-handoff and global continuity projections remain active	ContinuityAutomation first checks a client-specific packet and then falls back to a global packet. Legacy continuity still writes/uses global current-task, NEXT-CHAT, LATEST, and context_get bootstrap projections.	The plan required exact project authority and no global latest fallback. Remaining global projections can reintroduce cross-project assumptions in external MCP/legacy paths.	Sources/ForgeConductorCore/Application/ContinuityAutomation.swift:95-120; Sources/ForgeConductorCore/Application/ContextContinuityService.swift:95-110,609-620,770-795; USER-GUIDE.md:139-194	Remove global latest as authority. Require exact ProjectID + ProjectGeneration + client/session binding or fail project_context_required. Keep any global dashboard summary strictly non-authoritative.
FCA-006	High	Autonomous continuity qualification	Release-blocking gate open	E0 required	Manager-owned real-provider forced rollover is not proven end to end	The repository’s host capability report explicitly sets autonomous_rollover_proven=false. Direct adapter and synthetic/unit evidence exists, but one threshold-forced manager-owned real LM Studio scenario has not proven acknowledgment, predecessor fencing/sealing, automatic continuation, GUI-closed operation, and crash recovery together.	Source code is substantial, but the central autonomous-continuity promise is not release-qualified.	.forge-codex/state/host-capability-report.json; .forge-codex/state/completion-report.json; .forge-autonomy-state/current-handoff.json	Run a low-threshold real-provider scenario through the LaunchAgent manager; inject termination at every nonterminal rollover state; prove exactly one accepted successor and automatic continuation with the GUI closed.
FCA-007	High	Filesystem security	Known unresolved finding	E2	Descriptor-relative E2 filesystem race remains mitigated but not eliminated	The current state ledger explicitly retains FC-FILESYSTEM-PATH-TOCTOU-001. It records a verifier-to-final-mutation race, unbounded possible final-link data loss or subtree relocation for one winning race, repeated opportunities across a large recursive request, initial anchoring/destination hierarchy gaps, and hard-link ctime ambiguity.	The current implementation must not be represented as having closed E2. Same-UID adversarial mutation remains within the documented threat surface.	.forge-autonomy-state/current-handoff.json residual_risk/open_blockers; Sources/ForgeConductorCore/Application/Tools/FilesystemToolPack.swift; missing .forge-e2 directory	Implement and qualify the atomic capture/transaction design from the E2 package or formally narrow the threat model. Preserve quarantine recovery and shell compatibility. Keep the finding open until adversarial macOS tests prove the closure argument.
FCA-008	High	Runtime isolation	Missing planned feature	E1	The hardened App Sandbox XPC runtime scaffold was not implemented	Product sources and build definitions contain no NSXPCConnection, XPC service target, security-scoped bookmark lifecycle, or hardenedXPC execution profile. Runtime isolation relies on process-level profiles/sandbox-exec rather than a separately signed App Sandbox helper.	The planned high-assurance execution mode and its signed boundary are absent. Workspace isolation must not be described as the planned hardened XPC security boundary.	Repository-wide zero-match scan for NSXPCConnection/XPCService/security-scoped bookmark/hardenedXPC; Package.swift has no helper target	Add the optional signed helper target with explicit entitlement profiles, bookmark ownership, descendant enforcement, network-denied profile, and signed macOS tests—or explicitly remove the feature from the product contract.
FCA-009	High	Efficiency / memory pressure	Source-proven integration gap	E1	ResourcePolicy pressure-adjusted execution, gauge cadence, and event limits are largely unused	ResourcePolicy defines activeGaugeFPS, maximumInMemoryEvents, and executionLimits(for:), but production references are absent outside the policy definition. Managed concurrency and runtime defaults remain based primarily on nominal physical-memory tier; only telemetry history responds directly to pressure.	The application does not yet meet the planned adaptive behavior for Macs with different and dynamically constrained memory. During pressure it can continue rendering and scheduling at nominal settings.	Sources/ForgeConductorCore/Infrastructure/ResourcePolicy.swift:1-260; repository-wide usage scan finds no production consumers of activeGaugeFPS, maximumInMemoryEvents, or executionLimits(for:)	Create one manager-owned ResourcePressureCoordinator and wire it to autonomy concurrency, runtime admission, telemetry cadence/history, gauge updates, event retention, provider payload limits, and package scheduling with hysteresis.
FCA-010	High	Provider operations / UI	Partial feature	E1	Provider operator status and controls are placeholders	ProviderOperatorView renders Test Connection and Run Contract Probe buttons with empty actions. ManagerNode’s provider projection does not expose a live health/contract probe/configuration path and leaves critical fields unavailable.	Operators cannot configure, verify, or diagnose the real provider path from the native product, undermining autonomous operation and recovery.	Sources/ForgeConductorApp/OperatorConsole/Views/ProviderOperatorView.swift:1-90; Sources/ForgeConductorCore/Manager/ManagerNode.swift:843-900	Add typed manager mutations for provider configuration/Keychain references, test connection, model/context discovery, contract probe, and bounded health history. Wire buttons and surface actionable errors.
