package	feature	state	coverage	gaps	evidence
FC-CTX-001	Durable project context and bindings	Implemented	Exact ProjectID/ProjectGeneration context models, durable bindings, authorization scope, stale-generation fencing, manager/UI projections.	Release-native integration still depends on open UI gate.	ProjectContextService.swift; ProjectControlPlaneRepository.swift; ToolAuthorizationService.swift
FC-CONT-001	Canonical continuity consolidation	Partial	Project-scoped ContinuityCoordinator, V2 handoffs, operation persistence, recovery, exact acknowledgment models.	Legacy global fallback/manual client blocker remains active and authoritative on routed tools.	ContinuityCoordinator.swift; ManagedContinuityWorker.swift; ContinuityAutomation.swift; ToolRouter.swift
FC-RESET-001	Safe project reset and Settings UI	Missing	Generation-reset primitive and stale-generation fencing exist.	No selectable memory/continuity/combined/history reset, verified backup/rotation, complete maintenance barrier, or reset UI contract.	ManagerNode.resetProjectGeneration; ProjectsOperatorView
FC-RUNTIME-001	Durable execution jobs and direct processes	Implemented	Durable job repository/service, direct process profile, output bounds, deadlines, cancellation, process groups, project generation binding.	Native cancel UI disabled; pressure-adjusted admission incomplete.	ExecutionJobService.swift; RuntimeJobRepository.swift; RuntimeJobToolPack.swift
FC-RUNTIME-002	Shell and Bash	Implemented	shell_exec compatibility, shell.run, bash.run, enabled default, migration, explicit opt-out, bounded jobs.	Signed native Settings/restart qualification remains open.	AppConfig.swift; ConfigStore.swift; ShellToolPack.swift; RuntimeJobSubsystem.swift
FC-RUNTIME-003	Python, PowerShell, and hardened XPC	Partial	python.run and powershell.run with isolated/no-profile invocations and capability detection.	No signed App Sandbox XPC helper, security-scoped bookmark lifecycle, or hardenedXPC qualification.	ExecutionJobService.swift; Package.swift
FC-QUEUE-001	Instruction-package ingestion/catalog	Missing	No product implementation located.	No immutable Store/Quarantine/Artifacts ingestion, manifest validation, or compatibility importer.	Repository-wide zero-match scan
FC-QUEUE-002	Durable queue, leases, runs, and Work Queue UI	Missing	Manual autonomous run creation exists.	No queue state machine, QueueAssignment, reservation/lease scheduler, package tools, deterministic package validators, or Work Queue UI.	Repository-wide zero-match scan; AppTab inventory
FC-HOST-001	Real LM Studio driver and tool broker	Partial	Production ForgeNativeSessionHostPlugin uses real LM Studio transport/provider; synthetic transport is rejected in production; persistent provider-turn/tool broker structures exist.	Manager-owned real-provider end-to-end authority remains unproven; provider operator UI is incomplete.	ForgeNativeSessionHostPlugin.swift; host-capability-report.json
FC-AUTO-001	Autonomous package/run supervisor	Partial	AutonomySupervisor, ProjectRunCoordinator, watchdog, provider/tool loop, durable run state, GUI-independent manager ownership.	No package queue; completion validator can accept unrelated hashes; pressure adaptation incomplete.	ManagedAutonomyRuntime.swift; ManagedProjectRunStepExecutor.swift; AutonomySupervisor.swift
FC-AUTO-002	Autonomous real-session rollover	Partial	ContextBudgetSupervisor, rollover state machine, successor acknowledgment, predecessor fencing, continuation and recovery code exist.	Legacy blocker conflicts; real threshold-forced manager E2E gate open.	ContextBudgetSupervisor.swift; ManagedContinuityWorker.swift; ToolRouter.swift; host-capability-report.json
FC-HARDEN-001	Security, recovery, performance, migration, release gates	Partial	Latest-value telemetry backpressure, shared/on-demand Metal resources, runtime bounds, migration safeguards, project generation fencing, mutation auth, extensive tests.	E2 open; signed UI/shell/autonomy gates open; dashboard read/connection issues; gauge scale; retention and pressure integration gaps.	TelemetryService.swift; MetalGaugeResources.swift; current handoff/completion report
