[0/1] Planning build
Building for debugging...
[0/12] Write swift-version--58304C5D6DBC2206.txt
[2/90] Emitting module ForgeRuntimeLauncher
[3/90] Compiling ForgeRuntimeLauncher main.swift
[3/103] Write Objects.LinkFileList
[4/112] Linking forge-runtime-launcher
[5/112] Applying forge-runtime-launcher
[7/112] Compiling ForgeConductorCore ContinuityLifecycleToolPack.swift
[8/112] Compiling ForgeConductorCore ContinuityToolPack.swift
[9/112] Compiling ForgeConductorCore DocsToolPack.swift
[10/112] Compiling ForgeConductorCore FilesystemToolPack.swift
[11/112] Compiling ForgeConductorCore GitToolPack.swift
[12/112] Compiling ForgeConductorCore MemoryToolPack.swift
[13/112] Compiling ForgeConductorCore ProjectMemoryToolPack.swift
[14/112] Compiling ForgeConductorCore RuntimeJobToolPack.swift
[15/119] Compiling ForgeConductorCore Models.swift
[16/119] Compiling ForgeConductorCore ProjectContextModels.swift
[17/119] Compiling ForgeConductorCore ProjectMemoryModels.swift
[18/119] Compiling ForgeConductorCore Protocols.swift
[19/119] Compiling ForgeConductorCore RuntimeJobModels.swift
[20/119] Compiling ForgeConductorCore AppPaths.swift
[21/119] Compiling ForgeConductorCore AuditService.swift
[22/119] Compiling ForgeConductorCore SearchToolPack.swift
[23/119] Compiling ForgeConductorCore ShellToolPack.swift
[24/119] Compiling ForgeConductorCore ToolArgHelpers.swift
[25/119] Compiling ForgeConductorCore DashboardHTML.swift
[26/119] Compiling ForgeConductorCore DashboardHTTPRequest.swift
[27/119] Compiling ForgeConductorCore DashboardServer.swift
[28/119] Compiling ForgeConductorCore HTTPResponder.swift
[29/119] Compiling ForgeConductorCore ManagerRoutes.swift
[30/119] Compiling ForgeConductorCore MCPServer.swift
[31/119] Compiling ForgeConductorCore ManagerDashboardClient.swift
[32/119] Compiling ForgeConductorCore ManagerInstaller.swift
[33/119] Compiling ForgeConductorCore ManagerNode.swift
[34/119] Compiling ForgeConductorCore ManagerPIDFile.swift
[35/119] Compiling ForgeConductorCore ManagerRuntime.swift
[36/119] Compiling ForgeConductorCore ManagerSettingsNormalizer.swift
[37/119] Compiling ForgeConductorCore ProcessMetricsCollector.swift
[38/119] Compiling ForgeConductorCore RAMCollector.swift
[39/119] Compiling ForgeConductorCore ForgeCollector.swift
[40/119] Compiling ForgeConductorCore LMStudioDeployService.swift
[41/119] Compiling ForgeConductorCore LMStudioEnvironment.swift
[42/119] Compiling ForgeConductorCore LMStudioMCPPluginInstaller.swift
[43/119] Compiling ForgeConductorCore LatestValueMailbox.swift
[44/119] Compiling ForgeConductorCore ForgeUIModels.swift
[45/119] Compiling ForgeConductorCore TelemetryModels.swift
[46/119] Compiling ForgeConductorCore ProcessDiscovery.swift
[47/119] Compiling ForgeConductorCore RealtimeMetricsEngine.swift
[48/119] Compiling ForgeConductorCore SystemCollector.swift
[49/119] Compiling ForgeConductorCore TelemetryService.swift
[50/119] Compiling ForgeConductorCore resource_bundle_accessor.swift
[51/119] Compiling ForgeConductorCore ForgeSnapshot.swift
[52/119] Compiling ForgeConductorCore HandoffPacket.swift
[53/119] Compiling ForgeConductorCore HostAdapterRegistry.swift
[54/119] Compiling ForgeConductorCore JSONSupport.swift
[55/119] Compiling ForgeConductorCore LMStudioConnector.swift
[56/119] Compiling ForgeConductorCore ManagedModelProvider.swift
[57/119] Compiling ForgeConductorCore ManagerModels.swift
[58/119] Compiling ForgeConductorCore ForgeApp.swift
[59/119] Compiling ForgeConductorCore ForgeProcessEntry.swift
[60/119] Compiling ForgeConductorCore LegacyContinuityMigrator.swift
[61/119] Compiling ForgeConductorCore ManagedAutonomyRuntime.swift
[62/119] Compiling ForgeConductorCore ManagedContinuityWorker.swift
[63/119] Compiling ForgeConductorCore ManagedProjectRunStepExecutor.swift
[64/119] Compiling ForgeConductorCore PersistedManagedRunBudgetEvaluator.swift
[65/119] Compiling ForgeConductorCore ProjectContextService.swift
[66/119] Compiling ForgeConductorCore ResourceBundle.swift
[67/119] Compiling ForgeConductorCore ResourcePolicy.swift
